customer_id,age,gender,user_type,phone,email,home_region,full_address
C-0084,18,Female,Customer,+1-555-1528,user_0084@zencity-bikes.com,Downtown,862 Main St
C-1400,18,Female,Customer,+1-555-5848,user_1400@zencity-bikes.com,Downtown,664 Main St
C-0113,18,Female,Customer,+1-555-5872,user_0113@zencity-bikes.com,Downtown,436 Main St
C-0031,18,Female,Customer,+1-555-5032,user_0031@zencity-bikes.com,Downtown,127 Main St
C-1470,18,Female,Customer,+1-555-1144,user_1470@zencity-bikes.com,Downtown,55 Main St
C-1264,18,Female,Customer,+1-555-2944,user_1264@zencity-bikes.com,Downtown,937 Main St
C-0013,18,Female,Customer,+1-555-9592,user_0013@zencity-bikes.com,Downtown,124 Main St
C-1266,18,Female,Customer,+1-555-2728,user_1266@zencity-bikes.com,Downtown,190 Main St
C-1250,18,Female,Customer,+1-555-4624,user_1250@zencity-bikes.com,Downtown,574 Main St
C-1251,18,Female,Customer,+1-555-6304,user_1251@zencity-bikes.com,Downtown,544 Main St
C-1487,18,Female,Customer,+1-555-5536,user_1487@zencity-bikes.com,Downtown,469 Main St
C-1354,18,Female,Customer,+1-555-1456,user_1354@zencity-bikes.com,Downtown,223 Main St
C-1620,22,Female,Subscriber,+1-555-6572,user_1620@zencity-bikes.com,Downtown,524 Broadway Ave
C-1463,22,Female,Subscriber,+1-555-7460,user_1463@zencity-bikes.com,Downtown,773 Broadway Ave
C-1297,22,Female,Subscriber,+1-555-5564,user_1297@zencity-bikes.com,Downtown,524 Broadway Ave
C-1547,22,Female,Subscriber,+1-555-7772,user_1547@zencity-bikes.com,Downtown,59 Broadway Ave
C-1332,22,Female,Subscriber,+1-555-3236,user_1332@zencity-bikes.com,Downtown,536 Broadway Ave
C-1453,22,Female,Subscriber,+1-555-7028,user_1453@zencity-bikes.com,Downtown,980 Broadway Ave
C-0124,22,Female,Subscriber,+1-555-5060,user_0124@zencity-bikes.com,Downtown,191 Broadway Ave
C-1589,22,Female,Subscriber,+1-555-7508,user_1589@zencity-bikes.com,Downtown,587 Broadway Ave
C-1488,22,Female,Subscriber,+1-555-7364,user_1488@zencity-bikes.com,Downtown,479 Broadway Ave
C-0079,22,Female,Subscriber,+1-555-3908,user_0079@zencity-bikes.com,Downtown,281 Broadway Ave
C-0092,22,Female,Subscriber,+1-555-8612,user_0092@zencity-bikes.com,Downtown,746 Broadway Ave
